"Index","EURUSD.Open","EURUSD.High","EURUSD.Low","EURUSD.Close","EURUSD.Volume","EURUSD.Adjusted"
2004-08-31,1.2063,1.2194,1.2044,1.2185,NA,NA
2004-09-01,1.2185,1.2199,1.2147,1.2192,NA,NA
2004-09-02,1.2192,1.222,1.2148,1.2157,NA,NA
2004-09-03,1.2157,1.2196,1.2042,1.2058,NA,NA
2004-09-06,1.2044,1.208,1.2044,1.2068,NA,NA
2004-09-07,1.2067,1.211,1.2055,1.209,NA,NA
2004-09-08,1.209,1.2182,1.2027,1.2175,NA,NA
2004-09-09,1.2175,1.2208,1.216,1.2189,NA,NA
2004-09-10,1.2189,1.2311,1.2175,1.2262,NA,NA
2004-09-13,1.2262,1.2288,1.2223,1.2261,NA,NA
2004-09-14,1.2261,1.2297,1.2226,1.2268,NA,NA
2004-09-15,1.2268,1.2272,1.2135,1.2146,NA,NA
2004-09-16,1.2147,1.2196,1.2121,1.2169,NA,NA
2004-09-17,1.2169,1.2224,1.2158,1.2187,NA,NA
2004-09-20,1.2186,1.2187,1.2126,1.2165,NA,NA
2004-09-21,1.2166,1.2281,1.2156,1.2271,NA,NA
2004-09-22,1.2271,1.2347,1.2225,1.2249,NA,NA
2004-09-23,1.2249,1.2335,1.2244,1.2321,NA,NA
2004-09-24,1.2321,1.2363,1.2238,1.2276,NA,NA
2004-09-27,1.2272,1.2315,1.225,1.2302,NA,NA
2004-09-28,1.2302,1.2348,1.2281,1.2318,NA,NA
2004-09-29,1.2318,1.2343,1.2289,1.2327,NA,NA
2004-09-30,1.2327,1.2436,1.2315,1.2428,NA,NA
2004-10-01,1.2429,1.2443,1.2386,1.2417,NA,NA
2004-10-04,1.2408,1.2408,1.2258,1.2277,NA,NA
2004-10-05,1.2277,1.2324,1.2264,1.232,NA,NA
2004-10-06,1.232,1.233,1.2248,1.2288,NA,NA
2004-10-07,1.2288,1.2316,1.2265,1.2295,NA,NA
2004-10-08,1.2295,1.2434,1.2283,1.2409,NA,NA
2004-10-11,1.2412,1.2423,1.2376,1.2379,NA,NA
2004-10-12,1.2379,1.2391,1.2289,1.2315,NA,NA
2004-10-13,1.2315,1.2339,1.2225,1.2272,NA,NA
2004-10-14,1.2272,1.2421,1.2268,1.2385,NA,NA
2004-10-15,1.2386,1.2508,1.2368,1.2469,NA,NA
2004-10-18,1.2477,1.2534,1.2463,1.2496,NA,NA
2004-10-19,1.2496,1.2528,1.2454,1.2516,NA,NA
2004-10-20,1.2517,1.2629,1.25,1.2601,NA,NA
2004-10-21,1.2601,1.2652,1.2573,1.2629,NA,NA
2004-10-22,1.263,1.266,1.2599,1.2683,NA,NA
2004-10-25,1.268,1.283,1.2679,1.2813,NA,NA
2004-10-26,1.2813,1.2842,1.2726,1.2739,NA,NA
2004-10-27,1.2739,1.2814,1.2702,1.2719,NA,NA
2004-10-28,1.2719,1.2767,1.2632,1.2746,NA,NA
2004-10-29,1.2746,1.2798,1.2707,1.2798,NA,NA
2004-11-01,1.2796,1.2832,1.2718,1.2748,NA,NA
2004-11-02,1.2747,1.2756,1.268,1.2701,NA,NA
2004-11-03,1.2701,1.2811,1.2657,1.2784,NA,NA
2004-11-04,1.2785,1.2898,1.2782,1.2875,NA,NA
2004-11-05,1.2875,1.2964,1.2762,1.2964,NA,NA
2004-11-08,1.2971,1.2987,1.2907,1.2925,NA,NA
2004-11-09,1.2925,1.294,1.2883,1.2912,NA,NA
2004-11-10,1.2912,1.3006,1.285,1.288,NA,NA
2004-11-11,1.2881,1.2914,1.2859,1.2909,NA,NA
2004-11-12,1.2909,1.298,1.2876,1.2974,NA,NA
2004-11-15,1.2979,1.2999,1.2918,1.292,NA,NA
2004-11-16,1.2921,1.2996,1.2918,1.2979,NA,NA
2004-11-17,1.2979,1.3048,1.2952,1.3026,NA,NA
2004-11-18,1.3027,1.3075,1.2942,1.2961,NA,NA
2004-11-19,1.2961,1.3069,1.294,1.3023,NA,NA
2004-11-22,1.3051,1.3053,1.3013,1.3043,NA,NA
2004-11-23,1.3042,1.3106,1.2977,1.3097,NA,NA
2004-11-24,1.3098,1.3178,1.3074,1.3168,NA,NA
2004-11-25,1.3168,1.3249,1.3164,1.3246,NA,NA
2004-11-26,1.3246,1.333,1.3185,1.3297,NA,NA
2004-11-29,1.3278,1.3304,1.3229,1.3297,NA,NA
2004-11-30,1.3297,1.3336,1.3233,1.3278,NA,NA
2004-12-01,1.3278,1.3337,1.3273,1.3314,NA,NA
2004-12-02,1.3314,1.3385,1.3239,1.3268,NA,NA
2004-12-03,1.3269,1.3454,1.3256,1.3454,NA,NA
2004-12-06,1.3448,1.3456,1.3416,1.3443,NA,NA
2004-12-07,1.3444,1.3469,1.3391,1.3425,NA,NA
2004-12-08,1.3425,1.3438,1.3192,1.3319,NA,NA
2004-12-09,1.332,1.3364,1.3252,1.3273,NA,NA
2004-12-10,1.3272,1.3347,1.3141,1.3226,NA,NA
2004-12-13,1.3223,1.3316,1.319,1.3306,NA,NA
2004-12-14,1.3305,1.3335,1.3261,1.3284,NA,NA
2004-12-15,1.3285,1.3443,1.3262,1.3414,NA,NA
2004-12-16,1.3414,1.3429,1.3247,1.3261,NA,NA
2004-12-17,1.3262,1.3317,1.3204,1.3307,NA,NA
2004-12-20,1.3325,1.3409,1.3299,1.3388,NA,NA
2004-12-21,1.3388,1.3409,1.3353,1.3374,NA,NA
2004-12-22,1.3373,1.3406,1.3344,1.3387,NA,NA
2004-12-23,1.3387,1.3507,1.338,1.3485,NA,NA
2004-12-24,1.3485,1.3549,1.3484,1.3531,NA,NA
2004-12-27,1.3524,1.364,1.3516,1.3634,NA,NA
2004-12-28,1.3634,1.3644,1.359,1.3621,NA,NA
2004-12-29,1.3621,1.3648,1.3557,1.3575,NA,NA
2004-12-30,1.3575,1.3639,1.357,1.3637,NA,NA
2004-12-31,1.3637,1.3666,1.3515,1.3554,NA,NA
2005-01-03,1.3567,1.3582,1.3386,1.348,NA,NA
2005-01-04,1.3479,1.3497,1.3279,1.3303,NA,NA
2005-01-05,1.3303,1.3313,1.3214,1.3282,NA,NA
2005-01-06,1.3282,1.3289,1.3156,1.3182,NA,NA
2005-01-07,1.3182,1.325,1.3027,1.3054,NA,NA
2005-01-10,1.3052,1.3124,1.3049,1.309,NA,NA
2005-01-11,1.309,1.3172,1.3068,1.3136,NA,NA
2005-01-12,1.3136,1.3293,1.3084,1.3275,NA,NA
2005-01-13,1.3275,1.3287,1.3193,1.3216,NA,NA
2005-01-14,1.3216,1.3226,1.3058,1.3112,NA,NA
2005-01-17,1.3098,1.3128,1.3065,1.3079,NA,NA
2005-01-18,1.3079,1.3081,1.2996,1.3037,NA,NA
2005-01-19,1.3037,1.3119,1.3,1.3011,NA,NA
2005-01-20,1.3011,1.3024,1.2922,1.2948,NA,NA
2005-01-21,1.2949,1.3068,1.2934,1.3039,NA,NA
2005-01-24,1.3046,1.31,1.3029,1.3045,NA,NA
2005-01-25,1.3045,1.3076,1.2946,1.2965,NA,NA
2005-01-26,1.2965,1.3109,1.2956,1.3098,NA,NA
2005-01-27,1.3098,1.3125,1.3011,1.3032,NA,NA
2005-01-28,1.3032,1.3081,1.2986,1.3038,NA,NA
2005-01-31,1.3034,1.3059,1.2976,1.3046,NA,NA
2005-02-01,1.3046,1.3067,1.3001,1.3034,NA,NA
2005-02-02,1.3034,1.3094,1.301,1.3022,NA,NA
2005-02-03,1.3022,1.3049,1.2941,1.2964,NA,NA
2005-02-04,1.2964,1.3045,1.2869,1.2869,NA,NA
2005-02-07,1.287,1.2874,1.2733,1.2759,NA,NA
2005-02-08,1.2759,1.2798,1.2734,1.2787,NA,NA
2005-02-09,1.2787,1.2815,1.274,1.2788,NA,NA
2005-02-10,1.2789,1.2907,1.274,1.2905,NA,NA
2005-02-11,1.2904,1.2905,1.2846,1.2866,NA,NA
2005-02-14,1.2866,1.299,1.2866,1.2976,NA,NA
